EXP_INFO, , ,PID,2735904, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/config.yaml -c ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/ -gpu 6,7 -bs 256 -vertex_x1000 -out 050207_02", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/, , ,Config,ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
63,0.00010725,0.10187,158.02061,158.12248,37.57,30.15,34.09,40.34,46.78,40.21,30.81,20.4,27.7,18.7,50.68,50.68,40.78,28.71,23.44,25.62,21.26,29.48,29.48,27.38,17.96,10.3,16.37,9.79,76.82,77.67,76.71,76.59,77.32,85.18,70.61,45.39,64.77,41.88,66.13,66.13,51.19,34.71,31.16,31.98,28.57,39.83,39.83,30.16,21.28,14.68,20.5,13.95
65,0.00010512,0.09979,156.91932,157.01911,35.81,29.74,32.49,38.02,44.54,40.75,30.84,20.13,27.66,18.51,48.2,48.2,42.38,30.13,24.23,26.76,21.98,28.93,28.93,28.83,19.16,10.86,17.33,10.43,69.15,69.88,69.11,68.98,69.68,85.72,69.55,45.89,63.63,42.28,59.99,59.99,53.2,35.45,33.23,32.46,30.1,33.5,33.5,31.4,21.1,15.28,20.27,14.41
67,0.00010303,0.09959,156.44546,156.54505,41.87,35.25,38.53,44.29,50.71,41.23,31.5,22.04,28.09,19.97,51.98,51.98,41.34,28.98,24.63,25.59,22.13,34.51,34.51,28.21,18.82,12.39,16.89,11.45,74.19,75.1,74.17,73.92,74.56,83.06,68.14,44.5,62.36,41.08,60.8,60.8,51.02,33.29,31.12,30.34,28.24,38.56,38.56,30.82,20.71,14.43,19.75,13.57
69,0.00010098,0.09904,156.11840,156.21745,38.63,31.56,35.14,41.2,47.91,40.86,30.72,20.59,27.57,18.86,51.92,51.92,41.31,28.93,23.75,25.62,21.41,31.16,31.16,29.34,19.04,11.79,17.27,11.06,67.56,68.29,67.55,67.31,68.19,88.62,73.08,45.24,67.06,41.89,55.95,55.95,54.3,36.48,31.18,33.35,28.48,29.67,29.67,35.74,25.26,15.34,23.92,14.74
71,0.00009897,0.09769,155.66551,155.76319,39.03,32.44,35.66,41.42,47.93,39.39,30.5,20.47,27.3,18.74,50.67,50.67,40.47,28.58,23.7,25.4,21.47,32.02,32.02,27.07,18.65,11.64,16.83,10.94,65.46,66.49,65.42,65.08,66.08,87.81,72.54,45.35,66.55,41.93,54.29,54.29,50.22,33.06,31.25,30.17,28.44,27.84,27.84,29.12,19.79,14.15,18.92,13.45
73,0.00009700,0.09687,155.23954,155.33642,35.73,27.75,32.06,38.66,45.56,44.01,35.11,24.24,31.56,22.23,46.87,46.87,44.55,32.88,26.39,29.29,23.9,25.92,25.92,31.01,22.94,14.56,20.82,13.7,66.73,67.64,66.31,66.55,67.66,84.09,69.89,44.72,64.13,41.23,56.53,56.53,54.76,37.29,33.22,34.29,30.27,28.8,28.8,34.08,24.88,17.04,23.81,16.17
75,0.00009507,0.09610,154.78496,154.88106,40.38,32.98,36.71,43.1,50.04,41.85,32.26,21.0,28.89,19.36,52.68,52.68,41.41,29.54,23.37,26.2,21.18,32.36,32.36,29.57,20.53,11.72,18.51,11.16,62.66,63.43,62.3,62.56,63.7,85.4,70.42,45.25,64.5,41.8,57.28,57.28,53.73,37.15,31.79,33.99,29.11,28.38,28.38,33.92,25.54,15.2,24.29,14.72
77,0.00009318,0.09498,154.20942,154.30440,30.44,21.75,26.46,33.58,41.19,40.55,30.35,19.97,27.23,18.37,41.63,41.63,39.8,27.1,22.83,24.0,20.59,20.56,20.56,27.4,17.5,10.05,15.8,9.58,68.51,69.38,68.29,68.22,69.42,83.2,69.19,44.38,63.42,40.93,55.52,55.52,51.95,33.72,31.48,30.91,28.61,29.41,29.41,31.97,22.02,14.25,20.94,13.58
79,0.00009132,0.09477,153.84850,153.94327,32.44,24.06,28.36,35.55,43.19,39.33,30.29,20.86,27.08,19.04,42.6,42.6,39.08,26.97,22.86,23.85,20.65,22.87,22.87,25.99,16.94,10.6,15.28,10.01,64.44,65.42,64.2,64.16,65.39,83.37,68.88,44.21,63.15,40.83,52.98,52.98,50.25,32.83,31.33,30.08,28.44,26.54,26.54,29.13,19.87,14.76,19.01,13.84
81,0.00008950,0.09362,153.47010,153.56372,32.56,24.59,28.62,35.47,42.96,38.91,30.12,20.41,27.09,18.71,46.06,46.06,40.26,28.84,24.26,25.62,21.89,23.82,23.82,27.2,18.6,11.39,17.03,10.89,76.65,77.43,76.33,76.53,77.64,91.43,75.97,47.43,70.15,44.08,60.44,60.44,52.59,35.34,33.2,32.52,30.25,31.76,31.76,30.44,21.37,15.67,20.7,15.01
83,0.00008772,0.09309,152.99193,153.08502,29.81,21.83,26.02,32.69,39.94,39.24,29.95,20.23,26.76,18.44,41.4,41.4,40.46,28.15,23.55,24.82,21.24,20.59,20.59,27.48,18.08,11.56,16.21,10.76,67.28,68.34,67.12,66.92,67.94,83.83,69.01,44.45,63.2,41.07,56.79,56.79,53.95,36.13,32.65,32.88,29.7,28.74,28.74,32.28,23.0,15.06,21.76,14.2
85,0.00008598,0.09253,152.71463,152.80716,32.74,25.07,29.0,35.55,42.65,39.17,30.01,19.75,26.86,18.12,44.83,44.83,40.02,28.26,23.29,25.01,21.08,24.63,24.63,27.7,18.7,11.22,16.86,10.62,62.96,63.81,62.79,62.72,63.78,87.11,71.65,45.16,65.49,41.76,53.28,53.28,52.07,34.92,31.84,31.68,28.98,24.79,24.79,31.8,22.39,14.92,21.04,14.19
87,0.00008427,0.09231,152.85154,152.94385,37.92,31.25,34.63,40.33,46.67,41.03,31.54,21.4,28.18,19.63,47.59,47.59,41.13,29.21,24.02,25.85,21.75,30.83,30.83,29.22,19.94,12.82,17.86,12.03,65.88,66.74,65.62,65.68,66.71,84.12,69.82,44.52,63.76,41.19,54.75,54.75,54.5,36.63,31.94,33.28,29.11,31.47,31.47,35.2,25.58,16.37,24.0,15.54
