EXP_INFO, , ,Checkpoint,ckpt/0301/02_NoNormAug_ModelDynaTUP, , ,Config,configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml, , ,Arg,train.py --config configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/02_NoNormAug_ModelDynaTUP -gpu 0 -bs 352 -aug 0 -normalize_2d 0 -normalize_3d 0, , ,PID,1525947
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
29,0.00015094,0.01787,58.42,50.66,57.94,55.24,55.07,57.27,69.43,52.55,54.17,63.09,75.45,56.74,55.03,54.92,62.31,56.44,7.57,14.24,9.23,4.77,2.03,33.13,28.94,31.68,34.42,37.46,31.14,31.14,121.25,121.25,36.72,47.2,26.24,16.47,30.88,20.57,10.82,3.6,60.04,47.16,55.96,64.32,72.7,44.17,44.17,242.35,242.35,220.29,222.74,217.84,48.1,86.6,63.05,35.09,7.64,225.99,221.5,223.99,227.47,231.01,153.51,153.51,256.43,256.43
31,0.00014794,0.01758,57.64,49.23,56.35,52.9,53.61,57.06,70.41,51.96,53.85,61.85,74.1,56.5,53.74,55.54,61.39,56.07,7.39,13.99,9.06,4.67,1.83,32.83,28.5,31.36,34.19,37.26,31.13,31.13,112.14,112.14,36.12,46.73,25.51,16.36,30.89,20.6,10.84,3.12,60.31,47.23,56.19,64.73,73.08,43.61,43.61,225.59,225.59,218.25,220.99,215.51,47.18,85.13,61.84,34.48,7.26,224.06,219.73,222.14,225.44,228.94,139.94,139.94,240.59,240.59
33,0.00014500,0.01730,57.61,48.75,57.34,52.69,53.87,56.56,69.03,52.86,53.61,61.74,74.92,55.96,54.99,54.66,62.21,54.89,7.26,13.88,8.91,4.45,1.81,32.84,28.63,31.39,34.18,37.15,30.8,30.8,115.84,115.84,36.59,47.1,26.08,16.22,30.88,20.45,10.54,3.03,59.85,47.04,55.71,64.26,72.4,44.34,44.34,229.78,229.78,219.83,222.37,217.3,47.19,84.66,62.05,34.82,7.23,225.67,221.42,223.71,227.08,230.46,128.11,128.11,242.3,242.3
35,0.00014211,0.01713,58.34,52.37,59.87,52.25,55.47,56.4,69.07,54.45,55.36,59.89,77.16,55.83,55.7,54.8,61.57,54.93,7.17,13.78,8.78,4.38,1.74,32.99,28.76,31.57,34.33,37.31,30.47,30.47,117.06,117.06,36.6,47.01,26.18,16.28,30.52,20.3,10.63,3.68,59.89,46.97,56.04,64.3,72.23,43.97,43.97,233.95,233.95,219.23,221.68,216.77,47.48,85.48,62.31,34.68,7.45,225.01,220.58,223.01,226.41,230.04,130.78,130.78,248.92,248.92
37,0.00013928,0.01680,58.34,49.72,57.5,55.48,54.41,56.32,69.27,52.91,54.75,61.61,79.91,56.06,54.51,55.32,61.61,55.77,7.07,13.68,8.72,4.29,1.58,32.71,28.58,31.31,34.02,36.93,30.74,30.74,114.55,114.55,36.9,47.59,26.22,15.88,30.35,20.03,10.27,2.86,59.12,46.05,55.14,63.71,71.59,43.96,43.96,228.66,228.66,218.55,221.23,215.87,47.07,84.93,61.9,34.52,6.94,224.16,219.74,222.11,225.62,229.16,136.17,136.17,243.21,243.21
39,0.00013651,0.01663,58.11,50.73,57.27,53.65,54.74,56.14,70.46,52.7,54.86,60.79,75.46,55.77,54.65,55.43,62.38,56.6,7.27,13.79,8.88,4.53,1.89,32.83,28.54,31.4,34.18,37.2,30.59,30.59,115.67,115.67,37.05,48.14,25.95,16.08,30.61,20.28,10.46,2.95,59.62,46.02,55.58,64.36,72.5,43.39,43.39,231.55,231.55,219.18,221.85,216.51,48.62,87.72,64.0,35.62,7.16,224.87,220.35,222.82,226.33,230.0,138.73,138.73,245.56,245.56
41,0.00013379,0.01638,57.1,49.58,57.28,52.14,53.55,55.68,68.31,51.77,53.91,60.47,74.61,55.35,53.85,54.67,61.1,54.28,7.33,13.8,8.87,4.51,2.17,32.61,28.3,31.23,33.97,36.93,30.52,30.52,113.94,113.94,36.25,47.02,25.49,15.92,30.01,19.94,10.33,3.39,60.01,46.52,56.39,64.82,72.31,43.0,43.0,227.84,227.84,219.18,221.7,216.67,47.51,86.05,62.41,34.43,7.15,224.91,220.27,222.9,226.48,229.99,133.82,133.82,241.83,241.83
43,0.00013113,0.01619,57.55,50.21,57.87,52.65,53.97,56.06,68.85,52.69,54.82,60.55,73.28,55.79,54.61,54.96,61.67,55.23,7.15,13.7,8.81,4.42,1.67,32.82,28.53,31.38,34.27,37.1,30.63,30.63,113.03,113.03,37.0,47.89,26.11,15.77,30.11,19.88,10.27,2.82,59.64,46.11,55.65,64.75,72.04,42.32,42.32,225.24,225.24,218.54,221.21,215.87,47.63,85.8,62.84,34.9,6.98,224.35,219.76,222.39,225.9,229.37,127.57,127.57,241.06,241.06
45,0.00012852,0.01507,52.67,45.97,52.29,48.16,48.8,53.04,67.36,48.05,49.33,58.6,72.62,52.13,51.6,43.05,54.64,44.36,7.15,13.72,8.76,4.4,1.73,29.28,25.49,27.14,30.4,34.08,30.68,30.68,120.88,120.88,25.58,26.76,24.4,15.91,30.18,19.93,10.33,3.22,39.27,28.81,32.3,42.18,53.8,42.99,42.99,236.64,236.64,219.22,220.84,217.59,48.14,86.94,63.24,35.07,7.32,223.51,218.56,220.92,225.28,229.28,133.25,133.25,251.62,251.62
47,0.00012596,0.01247,53.78,47.96,54.18,49.5,50.12,53.17,68.08,49.97,48.85,58.68,73.26,53.21,52.17,44.93,55.53,47.03,6.84,13.5,8.57,4.07,1.22,28.88,25.01,26.89,30.01,33.61,30.68,30.68,112.8,112.8,30.97,33.62,28.33,15.69,30.02,19.88,10.14,2.71,33.16,22.74,27.58,35.93,46.37,43.76,43.76,224.35,224.35,221.59,223.42,219.76,47.95,86.49,63.48,35.03,6.81,225.5,221.01,223.12,226.96,230.89,135.27,135.27,238.97,238.97
