EXP_INFO, , ,PID,804800, , , , ,"train.py --config ckpt/0501/07_base00_vx1000/config.yaml -c ckpt/0501/07_base00_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/07_base00_vx1000/, , ,Config,ckpt/0501/07_base00_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
37,0.00013928,0.34372,309.20891,309.55264,71.48,72.83,71.34,71.07,72.07,86.65,71.53,45.2,65.72,41.67,91.16,40.94,78.56,110.12,129.74,119.76,97.28,63.09,88.27,57.81,122.91,91.14,113.68,135.06,148.95,157.33,130.59,79.45,118.39,72.87,74.13,74.13,68.81,49.7,43.22,44.72,39.16,33.47,33.47,42.09,31.39,23.13,29.17,21.49
39,0.00013651,0.34159,307.38755,307.72914,76.04,78.35,76.01,75.16,76.31,89.12,74.34,45.77,68.19,42.23,92.08,41.77,79.28,111.17,130.98,121.64,98.86,63.74,89.65,58.57,124.2,86.21,111.99,139.27,156.65,151.62,126.25,78.33,114.45,71.94,77.19,77.19,69.64,50.15,45.83,45.06,41.76,33.51,33.51,41.59,30.96,23.46,28.78,22.18
41,0.00013379,0.33929,305.19014,305.52944,70.7,73.37,70.7,69.74,70.85,86.38,71.26,45.97,65.15,42.3,92.56,42.84,79.86,111.5,131.11,121.58,98.36,63.5,89.09,58.2,118.37,78.17,105.94,133.95,152.38,150.47,124.28,78.86,112.49,72.4,75.75,75.75,71.01,50.53,44.73,45.26,40.46,35.21,35.21,42.74,31.67,22.66,29.18,20.98
43,0.00013113,0.33790,303.86838,304.20628,70.45,72.5,70.52,69.74,70.67,90.02,75.15,46.58,68.86,43.38,92.84,44.44,80.27,111.5,130.27,121.81,99.87,64.11,90.46,59.12,122.21,82.94,109.48,137.94,155.47,155.6,129.83,80.57,117.73,74.62,72.53,72.53,67.04,48.92,41.96,44.06,38.15,33.84,33.84,42.77,32.43,23.13,30.01,21.53
45,0.00012852,0.33544,301.57296,301.90841,69.53,70.4,69.08,69.19,71.09,86.65,72.11,44.07,66.45,40.74,92.35,44.32,79.69,110.74,130.12,119.23,97.25,61.73,88.44,56.84,116.18,78.24,104.39,130.27,149.68,146.82,122.26,74.84,111.2,68.71,72.88,72.88,67.56,48.48,42.48,43.86,38.73,33.7,33.7,42.26,31.53,22.32,29.39,21.05
47,0.00012596,0.33329,299.41352,299.74681,65.08,66.43,64.8,64.6,66.18,83.39,69.7,43.64,64.01,40.37,86.95,35.23,73.79,106.52,126.99,117.77,96.38,61.5,87.48,56.55,113.41,74.44,100.95,127.78,148.64,146.31,122.17,75.77,110.91,69.7,67.85,67.85,62.84,45.49,40.63,40.99,36.95,26.75,26.75,38.09,29.09,20.79,27.0,19.48
49,0.00012346,0.33469,299.90923,300.24392,67.26,67.66,66.8,67.13,68.99,86.94,73.08,44.51,67.08,41.19,89.14,38.8,76.37,108.16,128.14,118.17,96.13,61.73,87.24,56.73,115.79,77.67,103.76,129.64,150.04,150.98,125.55,77.31,113.9,71.03,67.86,67.86,65.33,47.01,41.23,42.32,37.52,29.76,29.76,39.49,30.02,21.39,27.75,19.97
51,0.00012100,0.33078,296.59532,296.92610,63.6,64.73,63.1,63.23,65.09,87.43,71.89,44.8,65.89,41.43,87.77,36.54,74.75,107.24,127.37,119.4,97.33,61.91,88.21,56.83,112.98,72.46,100.45,127.44,149.17,150.67,124.72,77.63,113.07,71.36,64.82,64.82,65.37,46.27,40.34,41.67,36.64,26.58,26.58,41.58,30.52,21.16,28.26,19.68
53,0.00011859,0.32997,295.66015,295.99013,67.45,67.91,67.03,67.34,68.97,84.06,70.21,43.07,64.63,39.93,90.49,41.18,77.89,109.19,128.68,117.57,95.72,61.52,86.94,56.57,116.3,78.92,104.76,129.41,150.28,150.59,125.21,77.08,113.76,71.04,65.73,65.73,62.65,44.33,40.03,40.11,36.38,29.73,29.73,37.44,27.76,20.44,25.95,19.06
55,0.00011623,0.32734,293.39867,293.72601,67.19,68.38,66.89,66.78,68.32,83.84,69.85,43.0,64.29,39.75,89.24,38.88,76.6,108.22,127.87,117.89,95.77,61.53,87.05,56.58,118.8,78.69,105.86,132.04,157.59,152.07,125.42,77.63,113.78,71.33,67.03,67.03,63.46,44.97,40.48,40.65,36.71,29.49,29.49,38.36,28.23,20.8,26.45,19.44
