EXP_INFO, , ,Checkpoint,ckpt/0301/02_NoNormAug_ModelDynaTUP, , ,Config,ckpt/0301/02_NoNormAug_ModelDynaTUP_WRONG/01_func333_model06_T16_DataTask00.yaml, , ,Arg,train.py --config ckpt/0301/02_NoNormAug_ModelDynaTUP_WRONG/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/02_NoNormAug_ModelDynaTUP -gpu 0 -bs 352 -aug 0 -normalize_2d 0 -normalize_3d 0, , ,PID,268351
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
29,0.00015094,0.01813,58.24,50.93,57.71,53.23,54.49,58.41,69.66,52.2,54.34,63.57,73.35,57.26,54.74,54.75,63.13,55.83,8.03,2.46,5.03,9.76,14.89,32.97,28.92,31.45,34.3,37.22,31.31,31.31,93.84,93.84,40.05,50.42,29.67,16.61,3.92,11.0,20.77,30.76,55.81,43.67,51.16,60.34,68.06,43.47,43.47,193.07,193.07,217.52,219.99,215.04,48.44,7.6,35.31,63.56,87.28,222.69,218.51,220.48,223.94,227.82,135.16,135.16,213.77,213.77
31,0.00014794,0.01782,58.66,51.4,57.39,53.67,55.32,58.46,70.69,53.17,54.95,62.89,75.26,56.88,54.11,55.81,62.9,57.05,7.73,1.87,4.82,9.54,14.69,32.8,28.75,31.26,34.13,37.07,31.14,31.14,97.93,97.93,40.17,50.17,30.17,16.33,3.36,10.84,20.45,30.65,56.65,44.81,52.02,61.09,68.67,44.44,44.44,186.64,186.64,217.19,219.62,214.76,48.55,7.29,35.81,64.06,87.04,222.7,218.54,220.48,224.03,227.76,131.61,131.61,209.33,209.33
33,0.00014500,0.01755,58.41,51.52,58.59,53.12,55.24,58.42,69.4,53.1,54.08,62.75,74.24,56.28,55.38,55.18,62.62,56.2,7.64,1.69,4.77,9.49,14.61,32.86,28.74,31.35,34.19,37.17,31.11,31.11,95.68,95.68,40.06,50.15,29.97,16.13,3.19,10.59,20.2,30.55,55.92,43.92,51.43,60.52,67.83,43.78,43.78,187.78,187.78,217.93,220.4,215.46,48.84,7.13,35.49,64.46,88.28,223.21,219.03,221.04,224.55,228.22,136.57,136.57,212.01,212.01
35,0.00014211,0.01729,58.34,52.09,58.41,53.35,54.85,58.14,70.47,52.29,54.85,61.47,73.13,55.92,55.44,54.87,62.97,56.79,7.7,2.06,4.81,9.43,14.5,32.81,28.64,31.32,34.19,37.1,31.1,31.1,92.64,92.64,41.07,51.42,30.72,16.36,4.05,10.86,20.19,30.34,55.98,43.64,51.47,60.78,68.01,43.78,43.78,195.26,195.26,218.13,220.68,215.59,47.86,7.53,35.18,62.94,85.79,223.3,219.17,221.21,224.62,228.22,129.77,129.77,216.41,216.41
37,0.00013928,0.01703,58.77,51.75,57.88,53.96,55.47,58.31,69.99,53.02,55.37,62.19,75.34,56.54,54.24,56.32,63.53,57.59,7.57,1.6,4.67,9.43,14.56,32.56,28.37,30.98,33.96,36.94,30.77,30.77,99.27,99.27,40.04,50.62,29.46,15.94,3.36,10.43,19.91,30.07,55.26,42.82,50.61,60.16,67.46,42.7,42.7,190.0,190.0,218.2,220.84,215.56,48.35,7.25,35.31,63.7,87.15,223.4,219.11,221.23,224.83,228.45,136.43,136.43,210.14,210.14
39,0.00013651,0.01680,58.4,50.77,57.98,53.7,54.48,58.18,69.88,52.58,55.18,63.04,74.03,55.75,54.91,55.49,63.61,56.43,7.7,1.92,4.81,9.49,14.59,32.63,28.45,31.03,33.99,37.06,31.15,31.15,93.79,93.79,40.11,50.76,29.46,16.15,3.65,10.62,20.1,30.23,55.76,43.39,50.97,60.56,68.09,43.52,43.52,194.48,194.48,217.66,220.23,215.09,47.75,7.42,35.16,62.91,85.53,222.98,218.75,220.83,224.34,228.01,130.51,130.51,215.17,215.17
41,0.00013379,0.01658,58.5,52.23,57.63,53.96,54.64,58.18,70.84,52.06,55.03,62.17,74.45,56.56,54.28,55.7,63.51,56.29,7.59,1.81,4.7,9.38,14.47,32.9,28.83,31.37,34.24,37.19,30.94,30.94,98.96,98.96,40.49,50.83,30.15,16.0,3.15,10.48,20.14,30.22,55.23,42.94,50.61,60.05,67.33,42.59,42.59,192.89,192.89,217.46,220.07,214.85,48.76,7.08,35.4,64.46,88.08,222.79,218.41,220.62,224.18,227.96,122.29,122.29,213.44,213.44
43,0.00013113,0.01637,58.71,52.75,58.39,53.09,55.13,58.21,70.66,53.62,54.9,62.04,74.74,55.93,54.86,55.79,63.4,57.14,7.44,1.79,4.57,9.17,14.22,32.97,28.64,31.43,34.45,37.37,30.99,30.99,96.93,96.93,40.87,52.1,29.64,15.67,3.1,10.13,19.68,29.75,55.22,41.86,50.49,60.76,67.76,42.68,42.68,189.74,189.74,217.55,220.44,214.66,48.0,7.1,35.22,63.39,86.31,222.57,218.14,220.4,224.08,227.67,126.5,126.5,210.75,210.75
45,0.00012852,0.01620,58.13,50.8,57.69,53.21,54.32,57.74,70.0,52.01,55.47,63.34,75.32,55.7,54.44,53.95,62.69,55.29,7.41,1.73,4.56,9.16,14.18,32.8,28.69,31.32,34.16,37.04,30.77,30.77,99.85,99.85,40.09,50.77,29.4,15.86,3.13,10.39,19.93,29.97,55.32,42.67,50.8,60.34,67.47,43.18,43.18,189.53,189.53,217.24,219.83,214.65,47.84,7.11,35.07,63.26,85.92,222.6,218.31,220.59,223.99,227.52,126.52,126.52,209.85,209.85
47,0.00012596,0.01600,57.71,49.95,57.17,52.85,54.26,57.57,71.05,51.43,54.14,61.21,72.52,55.68,53.43,55.21,62.85,56.3,7.3,1.64,4.54,9.02,14.01,32.5,28.15,30.97,33.97,36.93,30.84,30.84,101.89,101.89,40.78,51.84,29.73,15.57,2.75,10.15,19.68,29.7,55.09,42.01,50.53,60.3,67.51,42.63,42.63,189.42,189.42,217.54,220.28,214.8,47.51,6.84,35.01,62.91,85.29,222.59,217.99,220.45,224.13,227.78,122.48,122.48,211.84,211.84
49,0.00012346,0.01584,58.17,50.48,57.87,53.8,55.06,58.17,70.85,52.32,55.19,61.89,73.0,56.11,54.55,54.97,62.73,55.53,7.31,1.48,4.5,9.09,14.14,32.71,28.45,31.2,34.14,37.03,30.71,30.71,107.14,107.14,40.56,51.98,29.15,15.79,2.82,10.21,19.9,30.23,55.4,41.71,50.93,60.99,67.97,42.54,42.54,197.3,197.3,217.43,220.08,214.79,48.52,6.86,35.33,64.22,87.68,222.48,217.75,220.34,224.09,227.73,119.31,119.31,218.64,218.64
51,0.00012100,0.01567,57.99,50.82,58.08,52.62,54.48,57.68,69.33,52.76,54.77,62.3,74.12,55.91,54.08,54.72,62.93,55.31,7.11,1.47,4.25,8.83,13.88,32.79,28.43,31.33,34.26,37.11,30.85,30.85,97.07,97.07,40.71,52.22,29.2,15.57,2.78,10.08,19.7,29.7,55.15,41.36,50.7,60.75,67.78,43.13,43.13,188.02,188.02,216.96,219.79,214.13,47.57,6.74,34.5,62.85,86.18,222.12,217.35,220.1,223.76,227.25,120.28,120.28,209.53,209.53
53,0.00011859,0.01552,58.53,51.07,58.29,54.17,55.25,58.49,70.42,53.1,54.56,63.0,73.94,56.3,54.56,55.06,63.45,56.28,7.0,1.19,4.21,8.8,13.82,32.81,28.49,31.3,34.28,37.16,31.33,31.33,97.96,97.96,40.8,52.03,29.57,15.51,2.47,10.01,19.72,29.84,55.4,41.96,50.8,60.98,67.86,42.67,42.67,189.04,189.04,217.18,219.93,214.43,47.87,6.67,35.0,63.57,86.23,222.27,217.75,220.21,223.77,227.34,121.28,121.28,210.56,210.56
55,0.00011623,0.01538,58.16,50.98,58.51,52.89,55.21,57.88,69.51,53.13,55.01,61.7,73.3,55.57,54.58,54.99,62.72,56.37,6.92,1.19,4.13,8.69,13.7,32.72,28.41,31.23,34.2,37.04,31.07,31.07,98.01,98.01,41.03,52.55,29.5,15.53,2.56,9.98,19.7,29.87,55.5,41.55,51.15,61.26,68.02,42.5,42.5,188.43,188.43,218.42,221.19,215.64,47.38,6.55,34.41,62.73,85.83,223.36,218.61,221.3,225.03,228.52,123.23,123.23,209.16,209.16
57,0.00011392,0.01526,58.86,52.04,58.21,55.08,55.63,58.46,71.52,53.38,54.98,62.25,74.17,56.47,55.04,55.54,63.69,56.43,7.06,1.38,4.27,8.8,13.8,32.76,28.47,31.29,34.23,37.04,30.99,30.99,99.77,99.77,40.94,52.55,29.34,15.46,2.65,9.98,19.6,29.61,54.52,40.67,49.99,60.23,67.18,42.53,42.53,189.55,189.55,217.39,220.19,214.58,47.74,6.64,34.73,63.26,86.34,222.33,217.62,220.34,223.96,227.39,123.38,123.38,209.96,209.96
59,0.00011165,0.01512,58.69,51.43,58.48,54.21,55.33,58.38,70.7,52.87,55.95,62.06,73.38,56.62,54.73,55.59,63.53,57.12,6.99,1.18,4.22,8.81,13.77,32.8,28.5,31.31,34.27,37.12,30.99,30.99,99.97,99.97,40.66,52.45,28.87,15.52,2.47,9.97,19.74,29.92,55.34,41.41,50.52,61.04,68.39,42.34,42.34,191.4,191.4,217.76,220.41,215.11,48.29,6.7,35.23,64.16,87.07,222.89,218.04,220.78,224.61,228.11,119.56,119.56,214.61,214.61
61,0.00010943,0.01501,58.33,50.89,57.88,54.63,55.07,58.02,70.28,52.3,54.53,62.18,74.36,55.87,54.53,54.85,63.52,56.09,7.01,1.35,4.2,8.74,13.73,32.81,28.57,31.34,34.28,37.05,30.95,30.95,100.72,100.72,41.08,52.52,29.64,15.46,2.64,9.96,19.58,29.66,55.06,41.25,50.55,60.93,67.5,42.77,42.77,191.03,191.03,217.69,220.4,214.98,48.3,6.62,34.99,64.05,87.56,222.75,217.98,220.76,224.44,227.81,124.56,124.56,213.34,213.34
63,0.00010725,0.01491,58.28,50.83,58.04,54.57,54.95,58.21,69.83,52.52,54.55,62.56,73.87,55.75,54.29,54.75,63.48,55.93,6.95,1.23,4.14,8.72,13.73,32.68,28.21,31.12,34.26,37.12,31.01,31.01,96.07,96.07,40.54,52.65,28.42,15.36,2.51,9.86,19.5,29.56,55.41,40.92,50.58,61.48,68.67,42.27,42.27,190.04,190.04,217.39,220.22,214.56,47.53,6.5,34.6,63.03,85.98,222.41,217.45,220.29,224.18,227.71,121.91,121.91,211.82,211.82
65,0.00010512,0.01480,58.38,50.7,58.06,53.82,54.97,58.21,71.18,52.19,54.67,62.09,74.62,56.12,54.42,54.84,63.54,56.35,6.97,1.33,4.17,8.71,13.69,32.71,28.38,31.25,34.23,36.97,30.87,30.87,96.86,96.86,41.16,52.71,29.6,15.45,2.65,9.92,19.57,29.66,54.99,40.85,50.54,61.0,67.58,41.9,41.9,189.24,189.24,217.73,220.52,214.95,48.2,6.62,34.68,63.77,87.72,222.75,217.9,220.73,224.46,227.9,122.4,122.4,210.34,210.34
